image,caption,lengths,new_caption
241345770_9f8aa6723c.jpg,A group of football players are playing football .,9,group of football players are playing football .
241345811_46b5f157d4.jpg,A football coach speaks with a player .,8,football coach speaks with player .
241345844_69e1c22464.jpg,A football player is talking to his coach .,9,football player is talking to his coach .
241345864_138471c9ea.jpg,cheerleaders taking a break,4,cheerleaders taking break .
241345905_5826a72da1.jpg,two men examine a football players leg .,8,two men examine football players leg .
241345942_ea76966542.jpg,A football player is trying to tackle another one .,10,football player is trying to tackle another one .
241345981_1ef4f8109c.jpg,Three football players are in action on the field,9,three football players are in action on the field .
241346105_c1c860db0d.jpg,A college football game is in progress .,8,college football game is in progress .
241346146_f27759296d.jpg,A football player tries tackling another player who has the ball .,12,football player tries tackling another player who has the ball .
241346215_037e18403a.jpg,A team mascot raising its hands toward people .,9,team mascot raising its hands toward people .
241346260_f50d57b517.jpg,Men playing football in front of large crowd in stadium,10,men playing football in front of large crowd in stadium .
241346317_be3f07bd2e.jpg,An Oklahoma football player is about to score .,9,an oklahoma football player is about to score .
241346352_c5a0ea43c6.jpg,A football player is kicking the ball while the opposing fans watch .,13,football player is kicking the ball while the opposing fans watch .
241346402_5c070a0c6d.jpg,A man in sunglasses and a blue cap looking onward .,11,man in sunglasses and blue cap looking onward .
241346434_0527ea1c07.jpg,a football player points .,5,football player points .
241346471_c756a8f139.jpg,An Oklahoma player is tackled playing football,7,an oklahoma player is tackled playing football .
241346508_0b3907a95b.jpg,The crowd is watching a football game .,8,the crowd is watching football game .
241346580_b3c035d65c.jpg,Football players avoiding a fumble .,6,football players avoiding fumble .
241346709_23204cc2bc.jpg,A football player running with the ball .,8,football player running with the ball .
241346794_4319f8af67.jpg,A football game .,4,football game .
241346885_f519ece460.jpg,A quarterback hands off the football to a running back .,11,quarterback hands off the football to running back .
241346923_18bd84bea4.jpg,Two teams playing a football game in a packed stadium,10,two teams playing football game in packed stadium .
241346971_c100650320.jpg,Two men play football .,5,two men play football .
241347067_e58d05dbdc.jpg,a football player getting tackle,5,football player getting tackle .
241347114_6273736da8.jpg,One football player is tackling another player .,8,one football player is tackling another player .
241347150_5ff37818c2.jpg,The receiver is tackled after making the catch .,9,the receiver is tackled after making the catch .
241347204_007d83e252.jpg,Football players gather around the referees .,7,football players gather around the referees .
241347214_5f19e7998c.jpg,Three athletes in red and white uniforms and helmets .,10,three athletes in red and white uniforms and helmets .
241347243_c751557497.jpg,Oklahoma Sooner football players on the field .,8,oklahoma sooner football players on the field .
241347271_a39a5a0070.jpg,Two football teams compete .,5,two football teams compete .
241347300_7c84ecf764.jpg,A football player in red being tackled by opponents in white .,12,football player in red being tackled by opponents in white .
241347356_8a515555fd.jpg,A football player tries diving after another player .,9,football player tries diving after another player .
241347391_4fcd4639f4.jpg,defensive player waiting for the snap,6,defensive player waiting for the snap .
241347441_d3dd9b129f.jpg,A football player in a Sooners uniform .,8,football player in sooners uniform .
241347460_81d5d62bf6.jpg,A football player kicks the ball .,7,football player kicks the ball .
241347496_1a35fec8dc.jpg,A football player holding a football .,7,football player holding football .
241347547_902725b9f8.jpg,A man surrounded by football players .,7,man surrounded by football players .
241347580_a1e20321d3.jpg,Two blonde girls wear sports jerseys while watching a game together .,12,two blonde girls wear sports jerseys while watching game together .
241347611_cb265be138.jpg,A football coach is walking on a football field .,10,football coach is walking on football field .
241347635_e691395c2f.jpg,A man is walking along a field .,8,man is walking along field .
241347664_4a3e7e5be7.jpg,A football team doing excercises,5,football team doing excercises .
241347689_d0b1ac297d.jpg,african Americans play football .,5,african americans play football .
241347700_ef2451d256.jpg,A fan checks his cellphone while watching a football game .,11,fan checks his cellphone while watching football game .
241347760_d44c8d3a01.jpg,Guy in red and white football uniform,7,guy in red and white football uniform .
241347803_afb04b12c4.jpg,A large football player in a red uniform,8,large football player in red uniform .
241347823_6b25c3e58e.jpg,Man in playing football in Sooners jersey number 19,9,man in playing football in sooners jersey number nineteen .
241374292_11e3198daa.jpg,Several people are gathered by some statues .,8,several people are gathered by some statues .
2414352262_005ae90407.jpg,A girl jumps off a rock while another stands on it .,12,girl jumps off rock while another stands on it .
2414384480_096867d695.jpg,Crowd waiting fro the train .,6,crowd waiting fro the train .
2414390475_28a0107bb0.jpg,A man in a white t-shirt eating candy .,9,man in white t-shirt eating candy .
2414397449_2ac3b78e0d.jpg,Two dogs are playing in a field of tall grass .,11,two dogs are playing in field of tall grass .
2414710960_a4cde4af60.jpg,A dog wearing a blue sweater holds a yellow toy in its mouth .,14,dog wearing blue sweater holds yellow toy in its mouth .
2414986483_004936f84b.jpg,A girl dances like a man in costume,8,girl dances like man in costume .
2415265825_fbfe0c8556.jpg,A black dog walking on the beach .,8,black dog walking on the beach .
2415803492_56a673dc25.jpg,A man dances with a girl .,7,man dances with girl .
2416964653_db3c2b6a0e.jpg,Two young girls look at something .,7,two young girls look at something .
2417341107_97dbab9c5e.jpg,A kid is doing a hand-stand on the beach .,10,kid is doing hand-stand on the beach .
2417623030_afdc1024b5.jpg,Four runners pose for a picture .,7,four runners pose for picture .
2417745327_a2c2705043.jpg,A dog is running through the ocean .,8,dog is running through the ocean .
2418191216_82711d5c5c.jpg,Women in hat and sunglasses smiles .,7,women in hat and sunglasses smiles .
2419186511_f0ce5f9685.jpg,A cute baby takes a bath in a large clear bowl .,12,cute baby takes bath in large clear bowl .
2419221084_01a14176b4.jpg,Two dogs are outside near patio furniture .,8,two dogs are outside near patio furniture .
2419591925_1038c6c570.jpg,Boy climbing on a chain fence .,7,boy climbing on chain fence .
2419797375_553f867472.jpg,a girl wears black sunglasses .,6,girl wears black sunglasses .
2420546021_4a59790da6.jpg,A young woman with colorful clothes on .,8,young woman with colorful clothes on .
242064301_a9d12f1754.jpg,A man wearing a black shirt and carrying a messenger bag is walking .,14,man wearing black shirt and carrying messenger bag is walking .
2420696992_22e0dd467d.jpg,The boy is riding on a toy truck .,9,the boy is riding on toy truck .
2420730259_86e7f8a815.jpg,Man kisses crying baby at a marathon .,8,man kisses crying baby at marathon .
242109387_e497277e07.jpg,A boy jumping in a moonwalk .,7,boy jumping in moonwalk .
2421446839_fe7d46c177.jpg,White and black dog jumps at someone through car window .,11,white and black dog jumps at someone through car window .
2422018883_336519b5c6.jpg,A small toddler girl in a white dress walking,9,small toddler girl in white dress walking .
2422302286_385725e3cf.jpg,Small girl riding in play car .,7,small girl riding in play car .
2422482455_b98d9c2120.jpg,A person playing with her large black dog .,9,person playing with her large black dog .
2423085253_6c19149855.jpg,A child running outside with a bright colored ball next to her .,13,child running outside with bright colored ball next to her .
2423138514_950f79e432.jpg,Two naked boys at a pool .,7,two naked boys at pool .
242324909_06d5a6c44b.jpg,A Dachshund going for a walk .,7,dachshund going for walk .
2423292784_166ee54e0b.jpg,A boy with a metal colander on his head .,10,boy with metal colander on his head .
2423550887_ffc9bbcf71.jpg,Man in red jacket standing in front of lighthouse .,10,man in red jacket standing in front of lighthouse .
2423856014_8df0e7f656.jpg,A youngster playing in the park .,7,youngster playing in the park .
2423894412_d952d5d103.jpg,A man hangs from the edge of a rock .,10,man hangs from the edge of rock .
2424111022_4e332b8aee.jpg,A boy in the woods .,6,boy in the woods .
2424398046_1a55c71376.jpg,A young boy is playing a red guitar .,9,young boy is playing red guitar .
2424976964_98f58a0618.jpg,three young woman walking down a sidewalk looking up,9,three young woman walking down sidewalk looking up .
2425262733_afe0718276.jpg,A skateboarder making a jump .,6,skateboarder making jump .
242558556_12f4d1cabc.jpg,A woman poses for a picture outdoors .,8,woman poses for picture outdoors .
242559369_9ae90ed0b4.jpg,A naked woman steps into the water .,8,naked woman steps into the water .
2426215757_e008a91fcb.jpg,A person on a waterski .,6,person on waterski .
2426303900_0a8d52eb14.jpg,Two children in the bathtub with an umbrella .,9,two children in the bathtub with an umbrella .
2426724282_237bca30b5.jpg,A dog in a field jumps for a Frisbee .,10,dog in field jumps for frisbee .
2426781076_e3f4d2685c.jpg,A boy speeding down a steep slide .,8,boy speeding down steep slide .
2426828433_ce894d1c54.jpg,Three black dogs on grass .,6,three black dogs on grass .
2427490900_5b7a8874b9.jpg,People sit on both sides of a memorial .,9,people sit on both sides of memorial .
2427558437_3e839056d7.jpg,Two dogs pass each other near some water .,9,two dogs pass each other near some water .
2428086758_bce4733f7e.jpg,The big dog is checking out the smaller dog .,10,the big dog is checking out the smaller dog .
2428094795_d3a8f46046.jpg,A child in a fuzzy blue hat on a tricycle .,11,child in fuzzy blue hat on tricycle .
2428275562_4bde2bc5ea.jpg,A black dog running on a sand mound .,9,black dog running on sand mound .
2428751994_88a6808246.jpg,A dog running on the grass,6,dog running on the grass .
2428797297_7fc3c862db.jpg,Two dogs sharing a toy .,6,two dogs sharing toy .
2428959030_bdffc2812e.jpg,boy skateboarding on ledge,4,boy skateboarding on ledge .
2429212017_77fc107699.jpg,Two children playing around farm animals .,7,two children playing around farm animals .
2429272699_8a9699775e.jpg,A man walks down the street .,7,man walks down the street .
2429729667_42effc165d.jpg,Children watching a play .,5,children watching play .
2429978680_1e18a13835.jpg,A dog is catching a ball .,7,dog is catching ball .
2430860418_fd0726f414.jpg,A dog running in the sand .,7,dog running in the sand .
2431120202_b24fe2333a.jpg,Little girl on skis,4,little girl on skis .
2431470169_0eeba7d602.jpg,Man reading in a chair outside,6,man reading in chair outside .
2431723485_bc6b8e6418.jpg,a biker bikes through the woods .,7,biker bikes through the woods .
2431832075_00aa1a4457.jpg,A girl in a bounce house .,7,girl in bounce house .
2432038587_5e4148e277.jpg,A black dog chasing geese .,6,black dog chasing geese .
2432061076_0955d52854.jpg,A dog running in the surf .,7,dog running in the surf .
2432709509_2a4d0c833f.jpg,Baby by sewer drain cries,5,baby by sewer drain cries .
2433175169_da939372f2.jpg,Man standing on rock with outstretched hands .,8,man standing on rock with outstretched hands .
2434006663_207a284cec.jpg,Two dogs running through sand .,6,two dogs running through sand .
2434074318_e35a567220.jpg,A man stands near a statue on a mountaintop .,10,man stands near statue on mountaintop .
2435166927_28b8130660.jpg,A girl in a gray shit is throwing her hands up .,12,girl in gray shit is throwing her hands up .
2435685480_a79d42e564.jpg,The lady is sitting on a rock .,8,the lady is sitting on rock .
2436081047_bca044c1d3.jpg,A young girl jumps off a playground swing .,9,young girl jumps off playground swing .
2436160351_108924a65b.jpg,Two little boys in yellow shirts and red shorts .,10,two little boys in yellow shirts and red shorts .
2436398074_8737f40869.jpg,A dog drinks from a sprinkler .,7,dog drinks from sprinkler .
2437266971_b91a8f9a00.jpg,A man hands out fliers while wearing a mask .,10,man hands out fliers while wearing mask .
2438085746_588dce8724.jpg,A black and white dog catc,6,black and white dog catc .
2439031566_2e0c0d3550.jpg,a couple riding a bike,5,couple riding bike .
2439154641_bbf985aa57.jpg,A man jumping .,4,man jumping .
2439384468_58934deab6.jpg,Two dogs run around together in the field .,9,two dogs run around together in the field .
2439813616_c9ac54cc9f.jpg,A boy skateboards up a concrete ramp .,8,boy skateboards up concrete ramp .
2441313372_6a1d59582b.jpg,A boy wearing an arm cast lying in a hospital bed,11,boy wearing an arm cast lying in hospital bed .
2441354291_b32e00e5a6.jpg,A child is walking through a puddle wearing green sandals,10,child is walking through puddle wearing green sandals .
2441629086_52f68eb316.jpg,A girl peers into a window .,7,girl peers into window .
2441815792_43565b1312.jpg,A group of people having their picture taken .,9,group of people having their picture taken .
2442243868_abe8f74fb4.jpg,a dog chases a toy .,6,dog chases toy .
2443229844_277cded27d.jpg,A kid playing outside with a wagon .,8,kid playing outside with wagon .
2443380641_7b38d18f5b.jpg,A little league game in action .,7,little league game in action .
2443512473_6f5a22eb42.jpg,A competition dog running between poles,6,competition dog running between poles .
244368383_e90b6b2f20.jpg,a large crowd of people .,6,large crowd of people .
244399048_8332bb3270.jpg,A blurry dog inside on a carpet .,8,blurry dog inside on carpet .
2444134813_20895c640c.jpg,The dogs are racing .,5,the dogs are racing .
2444339090_bf7b3211f4.jpg,A black and white dog runs through pole obstacles .,10,black and white dog runs through pole obstacles .
244443352_d7636e1253.jpg,A dog in the snow .,6,dog in the snow .
2444741900_5cb3ef3e1d.jpg,Some people hanging out in the snow .,8,some people hanging out in the snow .
2444821454_22a346c996.jpg,A dog jumping for a Frisbee in a field .,10,dog jumping for frisbee in field .
2444935470_7b0226b756.jpg,Small boy in forest .,5,small boy in forest .
2445283938_ff477c7952.jpg,a group of girls sitting in a circle,8,group of girls sitting in circle .
2445442929_8c81d42460.jpg,A man sits at a table outdoors and watches people .,11,man sits at table outdoors and watches people .
2445654384_4ee3e486e1.jpg,A man holding girl at top of a slide,9,man holding girl at top of slide .
244571201_0339d8e8d1.jpg,Dogs and people play in a pool .,8,dogs and people play in pool .
2445783904_e6c38a3a3d.jpg,a grey dog walking on a leash in some grass,10,grey dog walking on leash in some grass .
2446315531_7c9704eec0.jpg,Two tan colored dogs playing .,6,two tan colored dogs playing .
2446601467_a35841cb1d.jpg,A baby peeking out from inside her cot,8,baby peeking out from inside her cot .
2447035752_415f4bb152.jpg,Seven people are wading in a natural pool .,9,seven people are wading in natural pool .
2447284966_d6bbdb4b6e.jpg,A young boy practices his bat swing while in the stands with blue seats .,15,young boy practices his bat swing while in the stands with blue seats .
2447289477_e888df561d.jpg,A woman wearing a blue shirt sits on a white bench .,12,woman wearing blue shirt sits on white bench .
244760289_f4467b2b67.jpg,Three people on a beach .,6,three people on beach .
244760301_5809214866.jpg,People walking,2,people walking .
244774022_a12c07afdb.jpg,A man surfing in the ocean .,7,man surfing in the ocean .
2447972568_1e9b287691.jpg,A man throws a child into the air .,9,man throws child into the air .
2448210587_9fe7ea5f42.jpg,An old woman with a white dog,7,an old woman with white dog .
2448270671_5e0e391a80.jpg,A dog leaps over a log in the woods .,10,dog leaps over log in the woods .
2448393373_80c011d301.jpg,A boy plays baseball .,5,boy plays baseball .
244867897_d00369a779.jpg,Two brown dogs fight over some cloth .,8,two brown dogs fight over some cloth .
244870123_dcb6e53643.jpg,Two dogs tug on a towel .,7,two dogs tug on towel .
2448793019_5881c025f9.jpg,a young child in blue jeans sliding down a blue slide,11,young child in blue jeans sliding down blue slide .
244910130_e1f823a28a.jpg,A man wearing glasses sits in the grass .,9,man wearing glasses sits in the grass .
244910177_7c4ec3f65b.jpg,Women walking down the street .,6,women walking down the street .
2449289139_08fc1092c1.jpg,A dog running .,4,dog running .
2449446913_28fa5b7c75.jpg,A men 's baseball team leaving the field,8,men 's baseball team leaving the field .
2449518585_113dc4a8e5.jpg,A girl swings on a nice day .,8,girl swings on nice day .
2449552677_ee78f01bae.jpg,The handicapped man wheels past the parking lot .,9,the handicapped man wheels past the parking lot .
2450299735_62c095f40e.jpg,A girl sliding into a pool,6,girl sliding into pool .
2450453051_f1d4a78ab4.jpg,A black and white dog catches flying discs thrown by a man .,13,black and white dog catches flying discs thrown by man .
2450486758_a66fd296ea.jpg,A dog with a Frisbee jumps over a man,9,dog with frisbee jumps over man .
2451114871_8617ae2f16.jpg,Dogs run at a dog racetrack .,7,dogs run at dog racetrack .
2451285022_59255e7fd9.jpg,a man standing behind a black dog with a red collar,11,man standing behind black dog with red collar .
2451988767_244bff98d1.jpg,two kids playing super heroes,5,two kids playing super heroes .
2452238877_2340609c6e.jpg,A dog jumps off a wooden porch .,8,dog jumps off wooden porch .
2452334314_a7c443a787.jpg,White horse with jockey jumps a barrier,7,white horse with jockey jumps barrier .
245252561_4f20f1c89e.jpg,Two dogs are playing together on the pavement .,9,two dogs are playing together on the pavement .
2452686995_621878f561.jpg,A waterfall cascades into a shallow pool .,8,waterfall cascades into shallow pool .
2453318633_550228acd4.jpg,A dog jumping through a ring of fire .,9,dog jumping through ring of fire .
2453891449_fedb277908.jpg,A white dog chasing a black dog across the grass .,11,white dog chasing black dog across the grass .
2453971388_76616b6a82.jpg,Two girls running through pool while water sprays over them,10,two girls running through pool while water sprays over them .
2453990033_df53f0d8c8.jpg,Girl in red jumping up,5,girl in red jumping up .
245442617_407eba1e98.jpg,A girl in black tank top catches a fish .,10,girl in black tank top catches fish .
2455286250_fb6a66175a.jpg,A child holding a soccer ball over his head .,10,child holding soccer ball over his head .
2455528149_6c3477fd33.jpg,People admiring paintings on the street .,7,people admiring paintings on the street .
2456030728_d3d147e774.jpg,A young girl picks her nose .,7,young girl picks her nose .
2456615908_59cdac6605.jpg,"A dog , holding a bird in its mouth , jumping a fence .",14,"dog , holding bird in its mouth , jumping fence ."
2456907314_49bc4591c4.jpg,A man is docking a boat,6,man is docking boat .
2457052334_b5a1d99048.jpg,A man climbing the face of a rock .,9,man climbing the face of rock .
2458006588_754c4aa09c.jpg,A black and brown dog standing on a beam above water .,12,black and brown dog standing on beam above water .
2458033289_f0616879df.jpg,A man standing in front of a garage .,9,man standing in front of garage .
2458269558_277012780d.jpg,Young child swinging on a swing .,7,young child swinging on swing .
2458862292_466a920ee2.jpg,a african american stands by his car .,8,african american stands by his car .
245895500_a4eb97af02.jpg,Person fishing in river .,5,person fishing in river .
2460126267_0deea8b645.jpg,A little boy in orange kicking a soccer ball .,10,little boy in orange kicking soccer ball .
2460134050_06de9f5c4a.jpg,The dog is running while looking up,7,the dog is running while looking up .
2460159430_71ab1aacfa.jpg,Two dogs running through tall grass .,7,two dogs running through tall grass .
246041128_bedb09ed74.jpg,A girl with blonde hair and a black shirt .,10,girl with blonde hair and black shirt .
2460477085_088e25f857.jpg,Three males are jumping on a trampoline outside .,9,three males are jumping on trampoline outside .
246055693_ccb69ac5c6.jpg,A dog jumps off the stairs .,7,dog jumps off the stairs .
2460797929_66446c13db.jpg,A group of people on a boat .,8,group of people on boat .
2460799229_ce45a1d940.jpg,asian boys play on a raft in a lake,9,asian boys play on raft in lake .
2460823604_7f6f786b1c.jpg,A boy chasing a baseball .,6,boy chasing baseball .
246094557_e174a5914f.jpg,Girl gives treat to jumping dog .,7,girl gives treat to jumping dog .
2461372011_ebbf513766.jpg,A person and a black dog are walking through the snow .,12,person and black dog are walking through the snow .
2461616306_3ee7ac1b4b.jpg,A smiling child dives into a pool .,8,smiling child dives into pool .
2461631708_decc5b8c87.jpg,Boys in orange life jackets sitting on raft in water,10,boys in orange life jackets sitting on raft in water .
2461990494_c5ece064cc.jpg,A man wearing a backpack looking to the side .,10,man wearing backpack looking to the side .
2462153092_e3f4d8f6a2.jpg,A girl running outside with three dogs,7,girl running outside with three dogs .
246231741_882b45c4e1.jpg,Two German Sheppard dogs are fighting .,7,two german sheppard dogs are fighting .
2462702522_1b25654762.jpg,a little boy throws a basketball .,7,little boy throws basketball .
2463067409_78188c584c.jpg,"A black dog , running on grass .",8,"black dog , running on grass ."
2464259416_238ef13a2e.jpg,Two bigs dogs play with each other .,8,two bigs dogs play with each other .
246508774_1e9885f1b7.jpg,A group of people are standing together outside .,9,group of people are standing together outside .
2465218087_fca77998c6.jpg,A man is standing in the water with a kayak .,11,man is standing in the water with kayak .
2465441099_a1761a1757.jpg,Youngle people standing together .,5,youngle people standing together .
2465497494_43d74df57c.jpg,A boy plays with sand near green grass .,9,boy plays with sand near green grass .
2465691083_894fc48af6.jpg,A dog swimming in water towards the camera .,9,dog swimming in water towards the camera .
2466093839_33bbc8cbd9.jpg,Two young kids play and run .,7,two young kids play and run .
2466171100_5e60cfcc11.jpg,A black and a tan dog .,7,black and tan dog .
2466171114_3fa51415a7.jpg,A dog running though a grassy field .,8,dog running though grassy field .
2466420387_86fe77c966.jpg,two woman looking into a glass case .,8,two woman looking into glass case .
2466495935_623b144183.jpg,Young boys playing soccer .,5,young boys playing soccer .
2467803152_70eeca1334.jpg,A dog running with a stick in its mouth .,10,dog running with stick in its mouth .
2467821766_0510c9a2d1.jpg,Four hikers hike on trail through snow .,8,four hikers hike on trail through snow .
2467850190_07a74d89b7.jpg,A dog and a woman bending over .,8,dog and woman bending over .
2467853482_17009933e8.jpg,A boy blowing bubbles .,5,boy blowing bubbles .
2467856402_0490413d38.jpg,A boy helping a younger girl blow bubbles .,9,boy helping younger girl blow bubbles .
246901891_4c4ea49c3a.jpg,A man steps onto a sidewalk .,7,man steps onto sidewalk .
2469351714_d72becd21e.jpg,A girl jumping high off of the sand .,9,girl jumping high off of the sand .
2469498117_b4543e1460.jpg,A dog races while wearing number 6 .,8,dog races while wearing number six .
2469620360_6c620c6f35.jpg,Woman standing in a field of tulips,7,woman standing in field of tulips .
2470486377_c3a39ccb7b.jpg,Some kids play outside on a nice day .,9,some kids play outside on nice day .
2470493181_2efbbf17bd.jpg,two boys on a balance beam holding a rope,9,two boys on balance beam holding rope .
2470519275_65725fd38d.jpg,A boy playing in mud,5,boy playing in mud .
2470588201_955132a946.jpg,A child swinging a multi-colored banner .,7,child swinging multi-colored banner .
247097023_e656d5854d.jpg,A man stands on a rock and takes in the view .,12,man stands on rock and takes in the view .
2471297228_b784ff61a2.jpg,Two girls swinging bags .,5,two girls swinging bags .
2471447879_6554cefb16.jpg,A girl climbing on a climbing ledge .,8,girl climbing on climbing ledge .
2471493912_2d4746b834.jpg,Two girls wading through hip deep mud .,8,two girls wading through hip deep mud .
2471974379_a4a4d2b389.jpg,A group of motorcycles wearing black .,7,group of motorcycles wearing black .
2472250097_a3191a94b3.jpg,A silhouette of a man with a fishing pole .,10,silhouette of man with fishing pole .
2472574160_8ce233f396.jpg,The man is in a field of tulips .,9,the man is in field of tulips .
2472634822_7d5d2858c0.jpg,A boy and a dog run through the grass .,10,boy and dog run through the grass .
2472678549_67068a1566.jpg,A boy wearing Spiderman clothes standing in a bathroom .,10,boy wearing spiderman clothes standing in bathroom .
2472720629_d9a6736356.jpg,Man and boy fly kite in park .,8,man and boy fly kite in park .
2472896179_245e7d142f.jpg,man holding harness waterskiing,4,man holding harness waterskiing .
2472980433_210ec62874.jpg,a man doing tricks on a motorcycle,7,man doing tricks on motorcycle .
2473293833_78820d2eaa.jpg,Kid in jacket points tongue out,6,kid in jacket points tongue out .
2473689180_e9d8fd656a.jpg,A man jet boarding .,5,man jet boarding .
2473737724_355599a263.jpg,Two girls karate fighting,4,two girls karate fighting .
2473738924_eca928d12f.jpg,Two little girls practice martial arts .,7,two little girls practice martial arts .
2473791980_805c819bd4.jpg,A man is sky surfing on the water .,9,man is sky surfing on the water .
2474047296_fd9179d438.jpg,Elderly man sitting in a doorway .,7,elderly man sitting in doorway .
2474092890_6c0781a8ed.jpg,The person blocks his face with newspaper to avoid being photographed .,12,the person blocks his face with newspaper to avoid being photographed .
2474918824_88660c7757.jpg,A guy tries to climb a stone cliff while his friend helps him .,14,guy tries to climb stone cliff while his friend helps him .
2475162978_2c51048dca.jpg,A woman is running after a boy on the grass .,11,woman is running after boy on the grass .
2475300106_b8563111ba.jpg,The dog is running through the yard .,8,the dog is running through the yard .
247617035_9f2e821534.jpg,a lone man wearing sunglasses sitting on a concrete wall,10,lone man wearing sunglasses sitting on concrete wall .
247617754_4b1137de8c.jpg,A woman sitting down checking her cellphone .,8,woman sitting down checking her cellphone .
247618600_239eeac405.jpg,A girl is sunning herself with a purple towel over her face .,13,girl is sunning herself with purple towel over her face .
247619370_a01fb21dd3.jpg,Woman in a black shirt sitting on a red bench .,11,woman in black shirt sitting on red bench .
2476214153_99a3998509.jpg,A young boy kicks a ball in an outdoor court .,11,young boy kicks ball in an outdoor court .
247637795_fdf26a03cf.jpg,A woman wearing a scarf looks down .,8,woman wearing scarf looks down .
247652942_29ede19352.jpg,A yellow parasail is in the air .,8,yellow parasail is in the air .
247691240_3881777ab8.jpg,A man rock climbing .,5,man rock climbing .
247704641_d883902277.jpg,A dog walks on a log across a small river .,11,dog walks on log across small river .
247706586_7e25c7adf8.jpg,A man is sitting on rock ledges .,8,man is sitting on rock ledges .
2477121456_1ac5c6d3e4.jpg,Drenched black Labrador in the water .,7,drenched black labrador in the water .
2477623312_58e8e8c8af.jpg,A young girl dancing .,5,young girl dancing .
247778426_fd59734130.jpg,The dog is swimming .,5,the dog is swimming .
2478929971_9eb6c074b6.jpg,Teenagers socializing in the shade .,6,teenagers socializing in the shade .
2479162876_a5ce3306af.jpg,A yellow dog is walking along a mountain trail,9,yellow dog is walking along mountain trail .
2479180530_7ebba2d8bf.jpg,A brown dog carrying a stick .,7,brown dog carrying stick .
2479553749_f7ac031940.jpg,A little boy is watching a merry-go-round .,8,little boy is watching merry-go-round .
2479652566_8f9fac8af5.jpg,A little girl plays with a faucet .,8,little girl plays with faucet .
2480021389_dda9fb2818.jpg,A man climbing a rock .,6,man climbing rock .
2480327661_fb69829f57.jpg,A young boy practicing martial arts .,7,young boy practicing martial arts .
2480664591_e6d22ed61c.jpg,Two people row a boat .,6,two people row boat .
2480668859_6f9b46be6a.jpg,A group of people rowing a boat .,8,group of people rowing boat .
2480820830_bdec1f5b76.jpg,Two dogs are running around in the water .,9,two dogs are running around in the water .
2480832276_fa55480ecb.jpg,A person climbing a boulder behind a tree .,9,person climbing boulder behind tree .
2480850054_de3433b54a.jpg,A boy wearing brown running in dirt .,8,boy wearing brown running in dirt .
2481003841_06086eafc2.jpg,Two young boys with playground equipment,6,two young boys with playground equipment .
2481367956_8577d2fa98.jpg,A child reaches for a bar .,7,child reaches for bar .
2481490320_7978c76271.jpg,A man rows a boat against a night sky .,10,man rows boat against night sky .
2481598514_05a65d1f72.jpg,Children on tricycles .,4,children on tricycles .
248174959_2522871152.jpg,A girl in a red t-shirt is sitting on rock above the clouds .,14,girl in red t-shirt is sitting on rock above the clouds .
2482629385_f370b290d1.jpg,A brown dog wading into a marshy pond .,9,brown dog wading into marshy pond .
2483792149_a9b4ffecec.jpg,A woman sitting in a field of flowers,8,woman sitting in field of flowers .
2483993772_f64e9e4724.jpg,A dog chasing a ball .,6,dog chasing ball .
2483993827_243894a4f9.jpg,Two Greyhounds racing at night,5,two greyhounds racing at night .
2484190118_e89363c465.jpg,A child in colorful shorts is standing on a post in the street .,14,child in colorful shorts is standing on post in the street .
2485467050_1d5e2696d4.jpg,Four kids are jumping around and playing outside .,9,four kids are jumping around and playing outside .
2486364531_b482d7f521.jpg,Young boy bouncing off a trampoline .,7,young boy bouncing off trampoline .
248646530_03c6284759.jpg,Young child jumping in the air .,7,young child jumping in the air .
248858242_1c33c54ada.jpg,A dog chases a smaller dog .,7,dog chases smaller dog .
2488795251_c108c77b13.jpg,The girls smile at the camera .,7,the girls smile at the camera .
2489602993_896c1ea40a.jpg,a man rides a green motorcycle around a corner,9,man rides green motorcycle around corner .
248994078_a9257f448b.jpg,A doberman bites a large blue ball .,8,doberman bites large blue ball .
2490179961_e842fda5eb.jpg,Two girls with chocolate mouths,5,two girls with chocolate mouths .
2490365757_b869282cb3.jpg,A man photographing tulips .,5,man photographing tulips .
2490687446_9d46fdf5a9.jpg,A dog splashes in the murky water .,8,dog splashes in the murky water .
2490768374_45d94fc658.jpg,a young girl wearing blue smiles .,7,young girl wearing blue smiles .
2490863987_715383944a.jpg,The man is asking for money .,7,the man is asking for money .
2491343114_a3e35a2a3a.jpg,a dog running on the beach,6,dog running on the beach .
2492258999_5764124bba.jpg,Two men sit on the sidewalk in front of stores .,11,two men sit on the sidewalk in front of stores .
2493469969_11b6190615.jpg,A medium sized brown dog jumping,6,medium sized brown dog jumping .
249394748_2e4acfbbb5.jpg,Two white dogs running,4,two white dogs running .
2493974889_50ae29f1e1.jpg,Two children walking down a forest path .,8,two children walking down forest path .
2495394666_2ef6c37519.jpg,A dog swimming in a pond,6,dog swimming in pond .
2495931537_9b8d4474b6.jpg,Dog sniffing another dog lying under furniture .,8,dog sniffing another dog lying under furniture .
2496236371_61dec88113.jpg,A motorcycle rider doing a wheelie .,7,motorcycle rider doing wheelie .
2496370758_a3fbc49837.jpg,Two dogs bound across the grass .,7,two dogs bound across the grass .
2496399593_a24954a5ca.jpg,Young brunette woman smiling in front of bushes .,9,young brunette woman smiling in front of bushes .
